conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,type_of_conflict2,c_epid,c_epno,c_ep_startyear,c_epterm,c_outcome,c_ep_endyear,c_ependdate,c_ependprec,c_ep_durcount,c_ep_dur,version,conflict_type,termination_outcome,any_support,support_count,support_label
214,"France, Thailand",Government of France,33,NA,Government of Thailand,147,NA,1,Northern Cambodia,1946,1,0,2,1946-05-07,1,1946-05-07,1,220,NA,800,NA,"220, 800","1, 3",2,21401,1,1946,1,1,1946,1946-11-17,1,1,1,4.2024002,Interstate,Peace Agreement,NA,NA,No External Support
215,"Albania, United Kingdom",Government of Albania,45,NA,Government of United Kingdom,28,NA,1,Korfu Channel,1946,1,0,2,1946-10-22,1,1946-10-22,1,339,NA,200,NA,"200, 339",1,2,21501,1,1946,1,2,1946,1946-12-31,5,1,1,4.2024002,Interstate,Ceasefire,NA,NA,No External Support
216,Vietnam (North Vietnam),Government of France,33,NA,Viet minh,176,NA,1,Vietnam,1954,2,1,1,1946-11-20,1,1946-11-20,1,220,NA,NA,NA,816,3,1,21601,1,1946,1,1,1954,1954-07-20,1,9,9,4.2024002,Extrasystemic,Peace Agreement,NA,NA,No External Support
217,China,Government of China,135,NA,Taiwanese insurgents,177,NA,1,Taiwan,1947,2,1,3,1947-02-28,1,1947-02-28,1,710,NA,NA,NA,710,3,3,21701,1,1947,1,3,1947,1947-03-24,1,1,1,4.2024002,Intrastate,Victory,NA,NA,No External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,1948,2,1,2,1948-12-31,5,1948-12-31,5,750,NA,770,NA,"750, 770",3,2,21801,1,1948,1,2,1948,1948-12-31,1,1,1,4.2024002,Interstate,Ceasefire,1,2,External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,1965,2,1,2,1948-12-31,5,1964-12-31,5,750,NA,770,NA,"750, 770",3,2,21802,2,1964,1,1,1965,1965-12-15,1,2,2,4.2024002,Interstate,Peace Agreement,1,2,External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,1971,2,1,2,1948-12-31,5,1971-12-03,1,750,NA,770,NA,"750, 770",3,2,21803,3,1971,1,1,1971,1971-12-17,3,1,1,4.2024002,Interstate,Peace Agreement,1,2,External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,1984,1,1,2,1948-12-31,5,1984-12-31,5,750,NA,770,NA,"750, 770",3,2,21804,4,1984,1,5,1984,1984-12-31,5,1,1,4.2024002,Interstate,Other/Unclear,1,2,External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,1987,1,1,2,1948-12-31,5,1987-12-31,5,750,NA,770,NA,"750, 770",3,2,21805,5,1987,1,5,1987,1987-12-31,5,1,1,4.2024002,Interstate,Other/Unclear,1,2,External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,1992,1,1,2,1948-12-31,5,1989-12-31,5,750,NA,770,NA,"750, 770",3,2,21806,6,1989,1,5,1992,1992-12-31,5,4,4,4.2024002,Interstate,Other/Unclear,1,2,External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,1994,1,1,2,1948-12-31,5,1994-06-28,5,750,NA,770,NA,"750, 770",3,2,21807,7,1994,1,5,1994,1994-11-28,2,1,1,4.2024002,Interstate,Other/Unclear,1,2,External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,2003,1,1,2,1948-12-31,5,1996-12-31,5,750,NA,770,NA,"750, 770",3,2,21808,8,1996,1,2,2003,2003-11-26,1,8,8,4.2024002,Interstate,Ceasefire,1,2,External Support
218,"India, Pakistan",Government of India,141,NA,Government of Pakistan,142,NA,1,Kashmir,2020,1,1,2,1948-12-31,5,2013-10-04,1,750,NA,770,NA,"750, 770",3,2,21809,9,2013,1,2,2020,2020-12-31,1,8,8,4.2024002,Interstate,Ceasefire,1,2,External Support
