conflict_id,country,location,side_a,side_b,year,region_label,intensity_level,intensity_label,conflict_type_label,lat,lon
13645,Yemen (North Yemen),Yemen (North Yemen),Government of Yemen (North Yemen),IS,2015,Middle East,1,Minor Conflict,Intrastate,29,42
13646,Kenya,Kenya,Government of Kenya,Al-Shabaab,2015,Africa,1,Minor Conflict,Intrastate,-2,22
13648,Egypt,Egypt,Government of Egypt,IS,2015,Middle East,1,Minor Conflict,Intrastate,29,42
13653,India,India,Government of India,UNLFW,2015,Asia,1,Minor Conflict,Intrastate,34,90
13675,Lebanon,Lebanon,Government of Lebanon,IS,2015,Middle East,1,Minor Conflict,Intrastate,29,42
13694,Libya,Libya,Government of Libya,IS,2015,Africa,1,Minor Conflict,Intrastate,-2,22
13721,Algeria,Algeria,Government of Algeria,IS,2015,Africa,1,Minor Conflict,Intrastate,-2,22
13902,Turkey,Turkey,Government of Turkey,IS,2015,Middle East,1,Minor Conflict,Intrastate,29,42
15283,Central African Republic,Central African Republic,Government of Central African Republic,FPRC,2015,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
209,Philippines,Philippines,Government of Philippines,CPP,2015,Asia,1,Minor Conflict,Intrastate,34,90
218,India,"India, Pakistan",Government of India,Government of Pakistan,2015,Asia,1,Minor Conflict,Interstate,34,90
222,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),PSLF,2015,Asia,1,Minor Conflict,Intrastate,34,90
227,India,India,Government of India,CPI-Maoist,2015,Asia,1,Minor Conflict,Intrastate,34,90
230,Yemen (North Yemen),Yemen (North Yemen),Government of Yemen (North Yemen),"Ansarallah, AQAP, Forces of the Presidential Leadership Council",2015,Middle East,2,War,Internationalized Intrastate,29,42
231,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),KIO,2015,Asia,1,Minor Conflict,Intrastate,34,90
259,Iraq,Iraq,Government of Iraq,IS,2015,Middle East,2,War,Internationalized Intrastate,29,42
264,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),SSPP,2015,Asia,1,Minor Conflict,Intrastate,34,90
287,Burundi,Burundi,Government of Burundi,"FPB, Military faction (forces of Godefroid Niyombare), RED-TABARA",2015,Africa,1,Minor Conflict,Intrastate,-2,22
289,Colombia,Colombia,Government of Colombia,"ELN, FARC",2015,Americas,1,Minor Conflict,Intrastate,-14,-60
297,Nigeria,Nigeria,Government of Nigeria,JAS,2015,Africa,2,War,Internationalized Intrastate,-2,22
299,Syria,Syria,Government of Syria,Syrian insurgents,2015,Middle East,2,War,Internationalized Intrastate,29,42
308,Philippines,Philippines,Government of Philippines,"ASG, BIFM, MILF",2015,Asia,1,Minor Conflict,Intrastate,34,90
309,Sudan,Sudan,Government of Sudan,"Darfur Joint Resistance Forces, SPLM/A-North, SRF",2015,Africa,2,War,Intrastate,-2,22
314,Uganda,Uganda,Government of Uganda,ADF,2015,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
325,Pakistan,Pakistan,Government of Pakistan,"BLA, BLF, BRA",2015,Asia,1,Minor Conflict,Intrastate,34,90
329,Ethiopia,Ethiopia,Government of Ethiopia,ONLF,2015,Africa,1,Minor Conflict,Intrastate,-2,22
333,Afghanistan,Afghanistan,Government of Afghanistan,Taleban,2015,Asia,2,War,Internationalized Intrastate,34,90
337,Somalia,Somalia,Government of Somalia,Al-Shabaab,2015,Africa,2,War,Internationalized Intrastate,-2,22
343,Tunisia,Tunisia,Government of Tunisia,"AQIM, JAK-T",2015,Africa,1,Minor Conflict,Intrastate,-2,22
353,Cameroon,Cameroon,Government of Cameroon,JAS,2015,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
354,Turkey,Turkey,Government of Turkey,PKK,2015,Middle East,1,Minor Conflict,Intrastate,29,42
364,India,India,Government of India,Kashmir insurgents,2015,Asia,1,Minor Conflict,Intrastate,34,90
372,Mali,Mali,Government of Mali,CMA,2015,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
386,Algeria,Algeria,Government of Algeria,AQIM,2015,Africa,1,Minor Conflict,Intrastate,-2,22
388,Azerbaijan,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,2015,Europe,1,Minor Conflict,Internationalized Intrastate,54,25
404,Pakistan,Pakistan,Government of Pakistan,TTP,2015,Asia,2,War,Internationalized Intrastate,34,90
413,Ethiopia,Ethiopia,Government of Ethiopia,OLF,2015,Africa,1,Minor Conflict,Intrastate,-2,22
418,United States of America,United States of America,Government of United States of America,al-Qaida,2015,Americas,1,Minor Conflict,Internationalized Intrastate,-14,-60
423,Thailand,Thailand,Government of Thailand,Patani insurgents,2015,Asia,1,Minor Conflict,Intrastate,34,90
432,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),Forces of the Caucasus Emirate,2015,Europe,1,Minor Conflict,Intrastate,54,25
439,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),MNDAA,2015,Asia,1,Minor Conflict,Intrastate,34,90
11345,South Sudan,South Sudan,Government of South Sudan,SPLM/A - IO,2016,Africa,1,Minor Conflict,Intrastate,-2,22
