conflict_id,location,conflict_type,outcome_order,support_label,support_order,region_label,c_ep_dur,c_ep_startyear,c_ep_endyear
205,Iran,Internationalized Intrastate,3,External Support,2,Middle East,1,1946,1946
209,Philippines,Intrastate,3,External Support,2,Asia,9,1946,1954
223,Myanmar (Burma),Intrastate,3,External Support,2,Asia,14,1948,1961
224,Myanmar (Burma),Intrastate,3,External Support,2,Asia,1,1996,1996
227,India,Intrastate,3,External Support,2,Asia,3,1969,1971
231,Myanmar (Burma),Intrastate,3,External Support,2,Asia,2,1949,1950
233,Guatemala,Intrastate,3,External Support,2,Americas,1,1949,1949
240,Thailand,Intrastate,3,External Support,2,Asia,1,1951,1951
247,Argentina,Intrastate,3,External Support,2,Americas,1,1963,1963
259,Iraq,Intrastate,3,External Support,2,Middle East,2,1958,1959
260,Lebanon,Internationalized Intrastate,3,External Support,2,Middle East,2,1989,1990
261,Malaysia,Internationalized Intrastate,3,External Support,2,Asia,3,1958,1960
262,Laos,Intrastate,3,External Support,2,Asia,2,1989,1990
265,DR Congo (Zaire),Intrastate,3,External Support,2,Africa,2,1961,1962
267,Ethiopia,Intrastate,3,External Support,2,Africa,1,1960,1960
268,"Ethiopia, Somalia",Interstate,3,External Support,2,Africa,2,1977,1978
268,"Ethiopia, Somalia",Interstate,3,External Support,2,Africa,1,1980,1980
283,DR Congo (Zaire),Intrastate,3,External Support,2,Africa,2,1964,1965
283,DR Congo (Zaire),Intrastate,3,External Support,2,Africa,1,1967,1967
283,DR Congo (Zaire),Intrastate,3,External Support,2,Africa,2,1977,1978
287,Burundi,Intrastate,3,External Support,2,Africa,1,1965,1965
288,Chad,Internationalized Intrastate,3,External Support,2,Africa,7,1966,1972
291,Indonesia,Intrastate,3,External Support,2,Asia,1,1984,1984
299,Syria,Intrastate,3,External Support,2,Middle East,4,1979,1982
309,Sudan,Intrastate,3,External Support,2,Africa,1,1971,1971
309,Sudan,Intrastate,3,External Support,2,Africa,1,1976,1976
314,Uganda,Intrastate,3,External Support,2,Africa,2,1971,1972
314,Uganda,Intrastate,3,External Support,2,Africa,1,1974,1974
316,El Salvador,Intrastate,3,External Support,2,Americas,1,1972,1972
329,Ethiopia,Intrastate,3,External Support,2,Africa,1,1964,1964
329,Ethiopia,Internationalized Intrastate,3,External Support,2,Africa,8,1976,1983
334,"China, Vietnam (North Vietnam)",Interstate,3,External Support,2,Asia,1,1974,1974
338,Iran,Intrastate,3,External Support,2,Middle East,3,1986,1988
340,Saudi Arabia,Intrastate,3,External Support,2,Middle East,1,1979,1979
344,Gambia,Internationalized Intrastate,3,External Support,2,Africa,1,1981,1981
352,Sri Lanka,Intrastate,3,External Support,2,Asia,5,2005,2009
353,Cameroon,Intrastate,3,External Support,2,Africa,1,1984,1984
366,Indonesia,Intrastate,3,External Support,2,Asia,2,1990,1991
367,Panama,Intrastate,3,External Support,2,Americas,1,1989,1989
372,Mali,Intrastate,3,External Support,2,Africa,3,2007,2009
378,Trinidad and Tobago,Intrastate,3,External Support,2,Americas,1,1990,1990
383,Turkey,Intrastate,3,External Support,2,Middle East,1,2005,2005
388,Azerbaijan,Internationalized Intrastate,3,External Support,2,Europe,4,2020,2023
395,Tajikistan,Intrastate,3,External Support,2,Asia,1,2000,2000
395,Tajikistan,Intrastate,3,External Support,2,Asia,2,2010,2011
397,Bosnia-Herzegovina,Intrastate,3,External Support,2,Europe,3,1993,1995
402,Yemen (North Yemen),Intrastate,3,External Support,2,Middle East,1,1994,1994
411,Lesotho,Internationalized Intrastate,3,External Support,2,Africa,1,1998,1998
415,Uzbekistan,Intrastate,3,External Support,2,Asia,1,2004,2004
420,"Australia, Iraq, United Kingdom, United States of America",Interstate,3,External Support,2,NA,1,2003,2003
432,Russia (Soviet Union),Intrastate,3,External Support,2,Europe,9,2007,2015
437,Ethiopia,Intrastate,3,External Support,2,Africa,1,1983,1983
439,Myanmar (Burma),Intrastate,3,External Support,2,Asia,1,2009,2009
11487,Malaysia,Intrastate,3,External Support,2,Asia,1,2013,2013
13648,Egypt,Intrastate,3,External Support,2,Middle East,8,2015,2022
230,Yemen (North Yemen),Intrastate,4,External Support,2,Middle East,1,1948,1948
233,Guatemala,Intrastate,4,External Support,2,Americas,1,1954,1954
275,Ethiopia,Intrastate,4,External Support,2,Africa,28,1964,1991
293,"South Vietnam, Vietnam (North Vietnam)",Interstate,4,External Support,2,Asia,11,1965,1975
297,Nigeria,Intrastate,4,External Support,2,Africa,1,1966,1966
299,Syria,Intrastate,4,External Support,2,Middle East,1,1966,1966
300,Cambodia (Kampuchea),Internationalized Intrastate,4,External Support,2,Asia,9,1967,1975
334,"China, Vietnam (North Vietnam)",Interstate,4,External Support,2,Asia,4,1978,1981
336,Nicaragua,Intrastate,4,External Support,2,Americas,3,1977,1979
341,Liberia,Intrastate,4,External Support,2,Africa,1,1980,1980
346,"Argentina, United Kingdom",Interstate,4,External Support,2,NA,1,1982,1982
350,"Grenada, United States of America",Interstate,4,External Support,2,Americas,1,1983,1983
371,"Iraq, Kuwait",Interstate,4,External Support,2,Middle East,2,1990,1991
372,Mali,Intrastate,4,External Support,2,Africa,1,2012,2012
374,Rwanda,Intrastate,4,External Support,2,Africa,5,1990,1994
410,Guinea-Bissau,Internationalized Intrastate,4,External Support,2,Africa,2,1998,1999
416,Central African Republic,Intrastate,4,External Support,2,Africa,2,2001,2002
13219,Ukraine,Intrastate,4,External Support,2,Europe,1,2014,2014
13692,"Afghanistan, United Kingdom, United States of America",Interstate,4,External Support,2,NA,1,2001,2001
